"ROI","Mean","Channel","Frame","Time","Sensor_Name","ROI_Name"
1,7.211,1,1,0,"GFP","Airpore Old 1"
2,8.057,1,1,0,"GFP","Airpore Old 2"
3,9.083,1,1,0,"GFP","Airpore Old 3"
4,5.493,1,1,0,"GFP","Airpore Medium 1"
5,9.184,1,1,0,"GFP","Airpore Medium 2"
6,8.19,1,1,0,"GFP","background"
1,69.1,2,1,0,"RFP","Airpore Old 1"
2,63.621,2,1,0,"RFP","Airpore Old 2"
3,46.458,2,1,0,"RFP","Airpore Old 3"
4,39.455,2,1,0,"RFP","Airpore Medium 1"
5,65.808,2,1,0,"RFP","Airpore Medium 2"
6,55.858,2,1,0,"RFP","background"
1,7.196,1,2,3,"GFP","Airpore Old 1"
2,8.018,1,2,3,"GFP","Airpore Old 2"
3,8.913,1,2,3,"GFP","Airpore Old 3"
4,5.599,1,2,3,"GFP","Airpore Medium 1"
5,9.256,1,2,3,"GFP","Airpore Medium 2"
6,8.411,1,2,3,"GFP","background"
1,70.051,2,2,3,"RFP","Airpore Old 1"
2,64.201,2,2,3,"RFP","Airpore Old 2"
3,47.216,2,2,3,"RFP","Airpore Old 3"
4,38.721,2,2,3,"RFP","Airpore Medium 1"
5,65.402,2,2,3,"RFP","Airpore Medium 2"
6,55.964,2,2,3,"RFP","background"
1,7.232,1,3,6,"GFP","Airpore Old 1"
2,8.312,1,3,6,"GFP","Airpore Old 2"
3,9.169,1,3,6,"GFP","Airpore Old 3"
4,5.691,1,3,6,"GFP","Airpore Medium 1"
5,9.099,1,3,6,"GFP","Airpore Medium 2"
6,8.488,1,3,6,"GFP","background"
1,70.068,2,3,6,"RFP","Airpore Old 1"
2,63.009,2,3,6,"RFP","Airpore Old 2"
3,46.438,2,3,6,"RFP","Airpore Old 3"
4,37.763,2,3,6,"RFP","Airpore Medium 1"
5,65.421,2,3,6,"RFP","Airpore Medium 2"
6,56.091,2,3,6,"RFP","background"
1,7.175,1,4,9,"GFP","Airpore Old 1"
2,8.299,1,4,9,"GFP","Airpore Old 2"
3,9.005,1,4,9,"GFP","Airpore Old 3"
4,5.867,1,4,9,"GFP","Airpore Medium 1"
5,9.417,1,4,9,"GFP","Airpore Medium 2"
6,8.562,1,4,9,"GFP","background"
1,68.537,2,4,9,"RFP","Airpore Old 1"
2,62.726,2,4,9,"RFP","Airpore Old 2"
3,46.987,2,4,9,"RFP","Airpore Old 3"
4,38.424,2,4,9,"RFP","Airpore Medium 1"
5,65.114,2,4,9,"RFP","Airpore Medium 2"
6,55.428,2,4,9,"RFP","background"
1,7.556,1,5,12,"GFP","Airpore Old 1"
2,8.187,1,5,12,"GFP","Airpore Old 2"
3,9.266,1,5,12,"GFP","Airpore Old 3"
4,5.87,1,5,12,"GFP","Airpore Medium 1"
5,9.676,1,5,12,"GFP","Airpore Medium 2"
6,8.731,1,5,12,"GFP","background"
1,68.574,2,5,12,"RFP","Airpore Old 1"
2,62.042,2,5,12,"RFP","Airpore Old 2"
3,46.345,2,5,12,"RFP","Airpore Old 3"
4,37.742,2,5,12,"RFP","Airpore Medium 1"
5,64.77,2,5,12,"RFP","Airpore Medium 2"
6,54.943,2,5,12,"RFP","background"
1,7.64,1,6,15,"GFP","Airpore Old 1"
2,8.519,1,6,15,"GFP","Airpore Old 2"
3,9.218,1,6,15,"GFP","Airpore Old 3"
4,5.757,1,6,15,"GFP","Airpore Medium 1"
5,9.521,1,6,15,"GFP","Airpore Medium 2"
6,8.693,1,6,15,"GFP","background"
1,67.728,2,6,15,"RFP","Airpore Old 1"
2,62.807,2,6,15,"RFP","Airpore Old 2"
3,47.146,2,6,15,"RFP","Airpore Old 3"
4,37.174,2,6,15,"RFP","Airpore Medium 1"
5,63.928,2,6,15,"RFP","Airpore Medium 2"
6,54.716,2,6,15,"RFP","background"
1,7.289,1,7,18,"GFP","Airpore Old 1"
2,8.512,1,7,18,"GFP","Airpore Old 2"
3,9.137,1,7,18,"GFP","Airpore Old 3"
4,5.931,1,7,18,"GFP","Airpore Medium 1"
5,9.743,1,7,18,"GFP","Airpore Medium 2"
6,8.73,1,7,18,"GFP","background"
1,67.154,2,7,18,"RFP","Airpore Old 1"
2,61.863,2,7,18,"RFP","Airpore Old 2"
3,46.459,2,7,18,"RFP","Airpore Old 3"
4,37.797,2,7,18,"RFP","Airpore Medium 1"
5,62.919,2,7,18,"RFP","Airpore Medium 2"
6,54.456,2,7,18,"RFP","background"
1,7.226,1,8,21,"GFP","Airpore Old 1"
2,8.574,1,8,21,"GFP","Airpore Old 2"
3,9.286,1,8,21,"GFP","Airpore Old 3"
4,5.691,1,8,21,"GFP","Airpore Medium 1"
5,9.425,1,8,21,"GFP","Airpore Medium 2"
6,8.671,1,8,21,"GFP","background"
1,66.524,2,8,21,"RFP","Airpore Old 1"
2,61.397,2,8,21,"RFP","Airpore Old 2"
3,46.468,2,8,21,"RFP","Airpore Old 3"
4,36.939,2,8,21,"RFP","Airpore Medium 1"
5,63.565,2,8,21,"RFP","Airpore Medium 2"
6,53.912,2,8,21,"RFP","background"
1,7.456,1,9,24,"GFP","Airpore Old 1"
2,8.29,1,9,24,"GFP","Airpore Old 2"
3,9.285,1,9,24,"GFP","Airpore Old 3"
4,5.664,1,9,24,"GFP","Airpore Medium 1"
5,9.721,1,9,24,"GFP","Airpore Medium 2"
6,8.614,1,9,24,"GFP","background"
1,66.494,2,9,24,"RFP","Airpore Old 1"
2,62.543,2,9,24,"RFP","Airpore Old 2"
3,46.549,2,9,24,"RFP","Airpore Old 3"
4,37.247,2,9,24,"RFP","Airpore Medium 1"
5,62.985,2,9,24,"RFP","Airpore Medium 2"
6,53.971,2,9,24,"RFP","background"
1,7.207,1,10,27,"GFP","Airpore Old 1"
2,8.302,1,10,27,"GFP","Airpore Old 2"
3,9.393,1,10,27,"GFP","Airpore Old 3"
4,5.456,1,10,27,"GFP","Airpore Medium 1"
5,9.509,1,10,27,"GFP","Airpore Medium 2"
6,8.724,1,10,27,"GFP","background"
1,67.209,2,10,27,"RFP","Airpore Old 1"
2,61.421,2,10,27,"RFP","Airpore Old 2"
3,46.266,2,10,27,"RFP","Airpore Old 3"
4,37.113,2,10,27,"RFP","Airpore Medium 1"
5,63.145,2,10,27,"RFP","Airpore Medium 2"
6,53.959,2,10,27,"RFP","background"
1,7.294,1,11,30,"GFP","Airpore Old 1"
2,8.333,1,11,30,"GFP","Airpore Old 2"
3,9.438,1,11,30,"GFP","Airpore Old 3"
4,5.71,1,11,30,"GFP","Airpore Medium 1"
5,9.597,1,11,30,"GFP","Airpore Medium 2"
6,8.656,1,11,30,"GFP","background"
1,66.283,2,11,30,"RFP","Airpore Old 1"
2,61.1,2,11,30,"RFP","Airpore Old 2"
3,46.957,2,11,30,"RFP","Airpore Old 3"
4,37.253,2,11,30,"RFP","Airpore Medium 1"
5,63.271,2,11,30,"RFP","Airpore Medium 2"
6,54.061,2,11,30,"RFP","background"
1,7.223,1,12,33,"GFP","Airpore Old 1"
2,8.478,1,12,33,"GFP","Airpore Old 2"
3,9.278,1,12,33,"GFP","Airpore Old 3"
4,5.515,1,12,33,"GFP","Airpore Medium 1"
5,9.068,1,12,33,"GFP","Airpore Medium 2"
6,8.571,1,12,33,"GFP","background"
1,65.472,2,12,33,"RFP","Airpore Old 1"
2,61.055,2,12,33,"RFP","Airpore Old 2"
3,46.794,2,12,33,"RFP","Airpore Old 3"
4,37.376,2,12,33,"RFP","Airpore Medium 1"
5,63.398,2,12,33,"RFP","Airpore Medium 2"
6,53.548,2,12,33,"RFP","background"
1,7.259,1,13,36,"GFP","Airpore Old 1"
2,7.952,1,13,36,"GFP","Airpore Old 2"
3,9.405,1,13,36,"GFP","Airpore Old 3"
4,5.486,1,13,36,"GFP","Airpore Medium 1"
